"","AGENCY.CODE","LABM.CODE","LABP.CODE","LABMT.CODE","LABM.NAME","LABM.SHORT.NAME","LABM.REF","LABM.MASK","LABM.UNITS","LABM.LOW.VALUE","LABM.HIGH.VALUE"
"62",999,"13C1_FE203","TOTAL_ELEMENTS","13.0311","Extractable Fe(Free) % - Citrate/Dithionite Extractable Fe2O3","Extractable Fe(Free)","CSIRO","","%",NA,NA
"63",999,"13C1_MN","MN","13.033","Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon","Extractable Mn","ASLSH Vol 3","","%",NA,NA
"64",999,"13C1_SI","SI","13.034","Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon","Extractable Si","ASLSH Vol 3","","%",NA,NA
"65",999,"13D1","SI","","Acid-extractable soil silicon - automated colour","Extractable Si","ASLSH SCM","","mg/kg",NA,NA
"66",999,"13D2","SI","","Acid-extractable soil silicon - ICPAES","Extractable Si","ASLSH SCM","","mg/kg",NA,NA
"67",501,"14_NR_S","SULFUR","","Saturation extract - Sulphur","Saturation extract","DAFWA","","",NA,NA
"68",999,"14A1","SE","14.01","Saturation extract - filter suction","Saturation extract","ASLSH Vol 3","","",NA,NA
"69",999,"14A2","SE","14.01","Saturation extract - automatic extractor","Saturation extract","ASLSH Vol 3","","",NA,NA
"70",999,"14A3","SE","14.01","Saturation extract - centrifuge, closed system","Saturation extract","ASLSH Vol 3","","",NA,NA
"71",999,"14A4","SE","14.01","Saturation extract - centrifuge, Gillman","Saturation extract","ASLSH Vol 3","","",NA,NA
"72",999,"14B1","EC","14.02","Electrical conductivity/SE","EC","ASLSH Vol 3","","dS/m",NA,NA
"73",999,"14C1","PH/SE","14.03","pH/SE","pH/SE","ASLSH Vol 3","","",NA,NA
"74",999,"14D1_BC","BICARB/SE","14.041","Bicarbonate/SE and carbonate/SE - potentiometric titration","Bicarbonate/SE","ASLSH Vol 3","","mequiv/L",NA,NA
"75",999,"14D1_C","CARB/SE","14.042","Bicarbonate/SE and carbonate/SE - potentiometric titration","Carbonate/SE","ASLSH Vol 3","","mequiv/L",NA,NA
"76",999,"14D2_BC","BICARB/SE","14.041","Bicarbonate/SE and carbonate/SE - indicator method","Bicarbonate/SE","ASLSH Vol 3","","mequiv/L",NA,NA
"77",999,"14D2_C","CARB/SE","14.042","Bicarbonate/SE and carbonate/SE - indicator method","Carbonate/SE","ASLSH Vol 3","","mequiv/L",NA,NA
"78",999,"14E1","CHLORIDE/SE","","Chloride/SE - potentiometric titration","Chloride/SE","ASLSH Vol 3","","mequiv/L",NA,NA
"79",999,"14E2","CHLORIDE/SE","14.05","Chloride/SE - ion chromatography","Chloride/SE","ASLSH Vol 3","","mequiv/L",NA,NA
"80",999,"14E2a","CHLORIDE/SE","","Chloride/SE - ion chromatography (chemical suppression of eluent conductivity)","Chloride/SE","ASLSH SCM","","mequiv/L",NA,NA
"81",999,"14E2b","CHLORIDE/SE","","Chloride/SE - ion chromatography (single column with electronic suppression of eluent conductivity)","Chloride/SE","ASLSH SCM","","mequiv/L",NA,NA
"82",999,"14E3","CHLORIDE/SE","14.06","Chloride/SE - ICPAES","Chloride/SE","ASLSH Vol 3","","mequiv/L",NA,NA
"83",999,"14F1","SULFATE/SE","14.06","Sulfate/SE - ICPAES","Sulfate/SE","ASLSH Vol 3","","mequiv/L",NA,NA
"84",999,"14F2","SULFATE/SE","14.06","Sulfate/SE - turbidimetric","Sulfate/SE","ASLSH Vol 3","","mequiv/L",NA,NA
"85",999,"14F3","SULFATE/SE","14.06","Sulfate/SE - gravimetric","Sulfate/SE","ASLSH Vol 3","","mequiv/L",NA,NA
"86",999,"14F4","SULFATE/SE","14.06","Sulfate/SE - automated colour","Sulfate/SE","ASLSH Vol 3","","mequiv/L",NA,NA
"87",999,"14F5","SULFATE/SE","14.06","Sulfate/SE - ion chromatography","Sulfate/SE","ASLSH Vol 3","","mequiv/L",NA,NA
"88",999,"14F5a","SULFATE/SE","","Sulfate/SE - ion chromatography (chemical suppression of eluent conductivity)","Sulfate/SE","ASLSH SCM","","mequiv/L",NA,NA
"89",999,"14F5b","SULFATE/SE","","Sulfate/SE - ion chromatography (single column with electronic suppression of eluent conductivity)","Sulfate/SE","ASLSH SCM","","mequiv/L",NA,NA
"90",999,"14G1","FLUORIDE/SE","14.07","Fluoride/SE - specific ion electrode","Fluoride/SE","ASLSH Vol 3","","mequiv/L",NA,NA
"91",999,"14G2","FLUORIDE/SE","14.07","Fluoride/SE - ion chromatography","Fluoride/SE","ASLSH Vol 3","","mequiv/L",NA,NA
"92",999,"14H1_CA","SOL_BASES_CA","14.081","Soluble bases/SE (Ca,Mg,K,Na)","Soluble bases Ca","ASLSH Vol 3","","mg/L",NA,NA
"93",999,"14H1_K","SOL_BASES_K","14.083","Soluble bases/SE (Ca,Mg,K,Na)","Soluble bases K","ASLSH Vol 3","","mg/L",NA,NA
"94",999,"14H1_MG","SOL_BASES_MG","14.082","Soluble bases/SE (Ca,Mg,K,Na)","Soluble bases Mg","ASLSH Vol 3","","mg/L",NA,NA
"95",999,"14H1_NA","SOL_BASES_NA","14.084","Soluble bases/SE (Ca,Mg,K,Na)","Soluble bases Na","ASLSH Vol 3","","mg/L",NA,NA
"96",999,"15_BASES","ECEC","15.131","Sum of Ex. cations + Ex. acidity - Sum of basic exch. cations","ECEC","CSIRO","","meq/100g",NA,NA
"97",999,"15_HSK_CEC","CEC","15.00","CEC - meq per 100g of soil - HOSK","CEC","CSIRO","","meq/100g",NA,NA
"98",999,"15_NR","ECEC","15.13","Sum of Ex. cations + Ex. acidity - Not recorded","ECEC","CSIRO NR","","meq/100g",NA,NA
"99",999,"15_NR_AL","EXCH_AL","15.07","Aluminium Cation - meq per 100g of soil - Not recorded","Exch. Al++","CSIRO NR","","meq/100g",NA,NA
"100",501,"15_NR_BSa","EXCH_BASES_CA","","Exchangeable bases (Ca++) - meq per 100g of soil - Auto calculated from available","Exch. Ca++","DAFWA","","meq/100g",NA,NA
"101",999,"15_NR_CA","EXCH_BASES_CA","15.001","Exch. basic cations (Ca++) - meq per 100g of soil - Not recorded","Exch. Ca++","CSIRO NR","","meq/100g",NA,NA
"102",999,"15_NR_CEC","EXCH_BASES_CEC","15.0451","CEC - meq per 100g of soil - Not recorded","CEC","CSIRO NR","","meq/100g",NA,NA
"103",501,"15_NR_CMR","CATION_RATIO","","Exchangeable bases (Ca/Mg ratio) - Not recorded","Cation ratio","DAFWA","","",NA,NA
"104",999,"15_NR_H","EXCH_H","15.09","Hydrogen Cation - meq per 100g of soil - Not recorded","Exch. H+","CSIRO NR","","meq/100g",NA,NA
"105",999,"15_NR_K","EXCH_BASES_K","15.003","Exch. basic cations (K++) - meq per 100g of soil - Not recorded","Exch. K++","CSIRO NR","","meq/100g",NA,NA
"106",999,"15_NR_MG","EXCH_BASES_MG","15.002","Exch. basic cations (Mg++) - meq per 100g of soil - Not recorded","Exch. Mg++","CSIRO NR","","meq/100g",NA,NA
"107",501,"15_NR_MN","EXCH_BASES_MN","","Exchangeable bases (Mn++) - meq per 100g of soil - Not recorded","Exch. Mn++","DAFWA","","meq/100g",NA,NA
"108",999,"15_NR_NA","EXCH_BASES_NA","15.004","Exch. basic cations (Na++) - meq per 100g of soil - Not recorded","Exch. Na++","CSIRO NR","","meq/100g",NA,NA
"109",999,"15A1_CA","EXCH_BASES_CA","15.011","Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts","Exch. Ca++","ASLSH Vol 3","","meq/100g",NA,NA
"110",501,"15A1_CEC","EXCH_BASES_CEC","","Exchangeable bases (CEC) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts","CEC","DAFWA","","meq/100g",NA,NA
"111",999,"15A1_K","EXCH_BASES_K","15.013","Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts","Exch. K++","ASLSH Vol 3","","meq/100g",NA,NA
"112",999,"15A1_MG","EXCH_BASES_MG","15.012","Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts","Exch. Mg++","ASLSH Vol 3","","meq/100g",NA,NA
"113",501,"15A1_MN","EXCH_BASES_MN","","Exchangeable bases (Mn2+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts","","DAFWA","","meq/100g",NA,NA
"114",999,"15A1_NA","EXCH_BASES_NA","15.014","Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts","Exch. Na++","ASLSH Vol 3","","meq/100g",NA,NA
"115",999,"15A2_CA","EXCH_BASES_CA","15.021","Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts","Exch. Ca++","ASLSH Vol 3","","meq/100g",NA,NA
"116",999,"15A2_CEC","EXCH_BASES_CEC","15.025","Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts","CEC","ASLSH Vol 3","","meq/100g",NA,NA
"117",999,"15A2_K","EXCH_BASES_K","15.023","Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts","Exch. K++","ASLSH Vol 3","","meq/100g",NA,NA
"118",999,"15A2_MG","EXCH_BASES_MG","15.022","Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts","Exch. Mg++","ASLSH Vol 3","","meq/100g",NA,NA
"119",999,"15A2_NA","EXCH_BASES_NA","15.024","Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts","Exch. Na++","ASLSH Vol 3","","meq/100g",NA,NA
"120",999,"15A3_CA","EXCH_BASES_CA","15.021","Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium","Exch. Ca++","ASLSH Vol 3","","meq/100g",NA,NA
"121",999,"15A3_CEC","EXCH_BASES_CEC","15.025","Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium","CEC","ASLSH Vol 3","","meq/100g",NA,NA
"122",999,"15A3_K","EXCH_BASES_K","15.023","Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium","Exch. K++","ASLSH Vol 3","","meq/100g",NA,NA
"123",999,"15A3_MG","EXCH_BASES_MG","15.022","Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium","Exch. Mg++","ASLSH Vol 3","","meq/100g",NA,NA
"124",999,"15A3_NA","EXCH_BASES_NA","15.024","Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium","Exch. Na++","ASLSH Vol 3","","meq/100g",NA,NA
"125",999,"15B1_CA","EXCH_BASES_CA","15.011","Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts","Exch. Ca++","ASLSH Vol 3","","meq/100g",NA,NA
"126",999,"15B1_CEC","EXCH_BASES_CEC","15.013","CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts","CEC","ASLSH Vol 3","","meq/100g",NA,NA
"127",999,"15B1_K","EXCH_BASES_K","15.013","Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts","Exch. K++","ASLSH Vol 3","","meq/100g",NA,NA
"128",999,"15B1_MG","EXCH_BASES_MG","15.012","Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts","Exch. Mg++","ASLSH Vol 3","","meq/100g",NA,NA
"129",999,"15B1_NA","EXCH_BASES_NA","15.014","Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts","Exch. Na++","ASLSH Vol 3","","meq/100g",NA,NA
"130",999,"15B2_CA","EXCH_BASES_CA","15.021","Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts","Exch. Ca++","ASLSH Vol 3","","meq/100g",NA,NA
"131",999,"15B2_CEC","EXCH_BASES_CEC","15.025","CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts","CEC","ASLSH Vol 3","","meq/100g",NA,NA
"132",999,"15B2_K","EXCH_BASES_K","15.023","Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts","Exch. K++","ASLSH Vol 3","","meq/100g",NA,NA
"133",999,"15B2_MG","EXCH_BASES_MG","15.022","Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts","Exch. Mg++","ASLSH Vol 3","","meq/100g",NA,NA
"134",999,"15B2_NA","EXCH_BASES_NA","15.024","Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts","Exch. Na++","ASLSH Vol 3","","meq/100g",NA,NA
"135",999,"15B3_CA","EXCH_BASES_CA","15.021","Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium","Exch. Ca++","ASLSH Vol 3","","meq/100g",NA,NA
"136",999,"15B3_CEC","EXCH_BASES_CEC","15.025","CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium","CEC","ASLSH Vol 3","","meq/100g",NA,NA
"137",999,"15B3_K","EXCH_BASES_K","15.023","Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium","Exch. K++","ASLSH Vol 3","","meq/100g",NA,NA
"138",999,"15B3_MG","EXCH_BASES_MG","15.022","Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium","Exch. Mg++","ASLSH Vol 3","","meq/100g",NA,NA
"139",999,"15B3_NA","EXCH_BASES_NA","15.024","Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium","Exch. Na++","ASLSH Vol 3","","meq/100g",NA,NA
"140",999,"15C1_CA","EXCH_BASES_CA","15.031","Exchangeable bases (Ca2+,Mg2+,Na+,K+) - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts","Exch. Ca++","ASLSH Vol 3","","meq/100g",NA,NA
"141",999,"15C1_CEC","EXCH_BASES_CEC","15.035","CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts","CEC","ASLSH Vol 3","","meq/100g",NA,NA
"142",999,"15C1_K","EXCH_BASES_K","15.033","Exchangeable bases and CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts","Exch. K++","ASLSH Vol 3","","meq/100g",NA,NA
"143",999,"15C1_MG","EXCH_BASES_MG","15.032","Exchangeable bases and CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts","Exch. Mg++","ASLSH Vol 3","","meq/100g",NA,NA
"144",999,"15C1_NA","EXCH_BASES_NA","15.034","Exchangeable bases and CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts","Exch. Na++","ASLSH Vol 3","","meq/100g",NA,NA
"145",999,"15C2_CA","EXCH_BASES_CA","","Exchangeable divalent cations and CEC - MIR diffuse reflectance spectroscopy","Exch. Ca++","ASLSH SCM","","meq/100g",NA,NA
"146",999,"15C2_CEC","EXCH_BASES_CEC","","Exchangeable divalent cations and CEC - MIR diffuse reflectance spectroscopy","CEC","ASLSH SCM","","meq/100g",NA,NA
"147",999,"15C2_MG","EXCH_BASES_MG","","Exchangeable divalent cations and CEC - MIR diffuse reflectance spectroscopy","Exch. Mg++","ASLSH SCM","","meq/100g",NA,NA
"148",501,"15D1_AL","EXCH_AL","","Exchangeable bases (Al2+)- 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach","Exch. Al++","DAFWA","","meq/100g",NA,NA
"149",999,"15D1_CA","EXCH_BASES_CA","15.021","Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach","Exch. Ca++","ASLSH Vol 3","","meq/100g",NA,NA
"150",999,"15D1_CEC","EXCH_BASES_CEC","15.025","CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach","CEC","ASLSH Vol 3","","meq/100g",NA,NA
"151",999,"15D1_K","EXCH_BASES_K","15.023","Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach","Exch. K++","ASLSH Vol 3","","meq/100g",NA,NA
"152",999,"15D1_MG","EXCH_BASES_MG","15.022","Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach","Exch. Mg++","ASLSH Vol 3","","meq/100g",NA,NA
"153",999,"15D1_NA","EXCH_BASES_NA","15.024","Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach","Exch. Na++","ASLSH Vol 3","","meq/100g",NA,NA
"154",999,"15D2_CA","EXCH_BASES_CA","15.021","Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; automatic extractor","Exch. Ca++","ASLSH Vol 3","","meq/100g",NA,NA
"155",999,"15D2_CEC","EXCH_BASES_CEC","15.025","CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; automatic extractor","CEC","ASLSH Vol 3","","meq/100g",NA,NA
"156",999,"15D2_K","EXCH_BASES_K","15.023","Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; mautomatic","Exch. K++","ASLSH Vol 3","","meq/100g",NA,NA
"157",999,"15D2_MG","EXCH_BASES_MG","15.022","Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; mautomatic","Exch. Mg++","ASLSH Vol 3","","meq/100g",NA,NA
"158",999,"15D2_NA","EXCH_BASES_NA","15.024","Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; mautomatic","Exch. Na++","ASLSH Vol 3","","meq/100g",NA,NA
"159",999,"15D3_CA","EXCH_BASES_CA","15.011","Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium acetate at pH 7.0, rapid method with no pretreatment for soluble salts","Exch. Ca++","ASLSH Vol 3","","meq/100g",NA,NA
"160",999,"15D3_K","EXCH_BASES_K","15.013","Exchangeable bases - 1M ammonium acetate at pH 7.0, rapid method with no pretreatment for soluble salts","Exch. K++","ASLSH Vol 3","","meq/100g",NA,NA
"161",999,"15D3_MG","EXCH_BASES_MG","15.012","Exchangeable bases - 1M ammonium acetate at pH 7.0, rapid method with no pretreatment for soluble salts","Exch. Mg++","ASLSH Vol 3","","meq/100g",NA,NA
