"analyte_key","analyte_type","analyte_name","analyte_abbrev","analyte_code","analyte_data_type","analyte_format","uom_abbrev","analyte_source_type","analyte_agg_method","analyte_algorithm","analyte_desc","analyte_size_frac_base"
664,"derived_analyte","Base Saturation, Sum of Cations, pH 8.2, CEC-Set 8","bsecat_cec8","BSSCat_d-8_S","I","3.0","%","layer",,"([base_sum] / [cec_sum]) * 100","Base saturation by sum of cations (pH 8.2) is calculated by (BASE_SUM/CEC_SUM)*100.","<2 mm"
663,"derived_analyte","Base Saturation, Sum of Cations, pH 8.2, CEC-Set 7","bsecat_cec7","BSSCat_d-7_S","I","3.0","%","layer",,"([base_sum] / [cec_sum]) * 100","Base saturation by sum of cations (pH 8.2) is calculated by (BASE_SUM/CEC_SUM)*100.","<2 mm"
285,"aggregate analyte","Clay, Noncarbonate, Moist","nco3_cly_moist","NCClyM","F","4.1","%","layer","mean","To Be Added","Non Carbonate Clay is the weight percentage of noncarbonate clay relative to the total <2mm fraction for moist sample.",
1724,"aggregate analyte","Wavellite, x-ray pm","min_WV_x-ray_pm","WVxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1723,"aggregate analyte","Vivianite, x-ray pm","min_VI_x-ray_pm","VIxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1722,"aggregate analyte","Vermiculite-Mica, x-ray pm","min_VM_x-ray_pm","VMxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1721,"aggregate analyte","Vermiculite-Hydrobiotite, x-ray pm","min_VH_x-ray_pm","VHxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1720,"aggregate analyte","Vermiculite-Chlorite, x-ray pm","min_VC_x-ray_pm","VCxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1719,"aggregate analyte","Vermiculite, x-ray pm","min_VR_x-ray_pm","VRxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1718,"aggregate analyte","Tremolite, x-ray pm","min_TE_x-ray_pm","TExrpm","C","4","peak_size","layer","concat","to be added","to be added",
1717,"aggregate analyte","Tourmaline, x-ray pm","min_TM_x-ray_pm","TMxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1716,"aggregate analyte","Topaz, x-ray pm","min_TP_x-ray_pm","TPxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1715,"aggregate analyte","Talc, x-ray pm","min_TA_x-ray_pm","TAxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1714,"aggregate analyte","Sulphur, x-ray pm","min_SU_x-ray_pm","SUxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1713,"aggregate analyte","Stilbite, x-ray pm","min_ST_x-ray_pm","STxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1712,"aggregate analyte","Staurolite, x-ray pm","min_SO_x-ray_pm","SOxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1711,"aggregate analyte","Sponge Spicule, x-ray pm","min_SS_x-ray_pm","SSxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1710,"aggregate analyte","Spinel, x-ray pm","min_SN_x-ray_pm","SNxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1709,"aggregate analyte","Sphene, x-ray pm","min_SP_x-ray_pm","SPxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1708,"aggregate analyte","Sphalerite, x-ray pm","min_SG_x-ray_pm","SGxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1707,"aggregate analyte","Sillimanite, x-ray pm","min_SL_x-ray_pm","SLxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1706,"aggregate analyte","Siliceous Aggregates, x-ray pm","min_SA_x-ray_pm","SAxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1705,"aggregate analyte","Siderite, x-ray pm","min_SI_x-ray_pm","SIxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1704,"aggregate analyte","Sericite, x-ray pm","min_SR_x-ray_pm","SRxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1703,"aggregate analyte","Sanidine, x-ray pm","min_FS_x-ray_pm","FSxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1702,"aggregate analyte","Rutile, x-ray pm","min_RU_x-ray_pm","RUxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1701,"aggregate analyte","Riebeckite (Blue Amphibole), x-ray pm","min_RB_x-ray_pm","RBxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1700,"aggregate analyte","Rhodochrosite, x-ray pm","min_RO_x-ray_pm","ROxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1699,"aggregate analyte","Resistant Minerals, x-ray pm","min_RE_x-ray_pm","RExrpm","C","4","peak_size","layer","concat","to be added","to be added",
1698,"aggregate analyte","Resistant Mineraloids, x-ray pm","min_MD_x-ray_pm","MDxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1697,"aggregate analyte","Resistant Aggregates, x-ray pm","min_RA_x-ray_pm","RAxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1696,"aggregate analyte","Quartz, x-ray pm","min_QZ_x-ray_pm","QZxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1695,"aggregate analyte","Pyroxene, x-ray pm","min_PR_x-ray_pm","PRxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1694,"aggregate analyte","Pyrophyllite, x-ray pm","min_PY_x-ray_pm","PYxrpm","C","4","peak_size","layer","concat","to be added","to be added",
1693,"aggregate analyte","Pyrolusite, x-ray pm","min_PU_x-ray_pm","PUxrpm","C","4","peak_size","layer","concat","to be added","to be added",
691,"derived_analyte","Aluminum plus half Iron Oxalate, S Prep, Inst Set 2","al_fe_ox2","Alfeox_d-2_S","F","5.2","% wt","layer",,"al_ox + fe_ox / 2","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.","<2 mm"
690,"derived_analyte","Aluminum plus half Iron Oxalate, S Prep, Inst Set 1","al_fe_ox1","Alfeox_d-1_S","F","5.2","% wt","layer",,"al_ox + fe_ox / 2","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.","<2 mm"
689,"derived_analyte","Ratio, 15 Bar Water to Clay, <2mm, Moist","w15cly_Moist","Mw15cly_d-1_M","F","4.2","(NA)","layer",,"to be added","The ratio of 15 bar H2O percent / clay percent is calculated by (W15AD or W15FM)/CLAY_TOT, reported as grams per gram, on a <2 mm base. It provides inferences about clay mineralogy and the effectiveness of dispersion in the particle size analysis.","<2 mm"
688,"derived_analyte","Texture, USDA, Moist","tex_psda_Moist","MTextur_d-1_M","C","4","(NA)","layer",,"to be added","The laboratory determined texture of the <2 mm fraction is calculated from particle size separate data.","<2 mm"
687,"derived_analyte","Silt, Total, Moist","silt_tot_Moist","MSilt_d-1_M","F","4.1","% wt","layer",,"100.0 - (Clay + Sand)","Total silt is the soil separate with 0.002 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base.","<2 mm"
686,"derived_analyte","Silt, Coarse, Moist","silt_c_Moist","MCSilt_d-1_M","F","4.1","% wt","layer",,"CSilt = 100.0 - Clay - FSilt - Sand","Coarse silt is the soil separate with 0.02 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base.","<2 mm"
685,"derived_analyte","Sand, Total, Moist","sand_tot_Moist","MSand_d-1_M","F","4.1","% wt","layer",,"VCSand + CSand + MSand + FSand + VFSand","Total sand is the soil separate with 0.05 to 2.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base.","<2 mm"
684,"aggregate analyte","Volume, CEC, NH4OAc, Syringe Extract, 2M KCl displacement","volcecextr_NH4d","Volnh4","F","4.2","mL","layer","mean","To Be Added","The volume of the extract contained in the syrringe of the CEC procedure. This value is not normally reported.  It is used in the calculation of extractable bases (Ca, Mg, Na, K).",
683,"aggregate analyte","Iron, KCl Extractable","fe_kcl","Fe_kcl","F","4.1","mg/kg","layer","mean","To Be Added","The KCl extractable iron approximates the exchangeable or plant available fraction. It is reported as milligrams per kilogram on a <2 mm base.",
682,"aggregate analyte","Sodium, NH4OAc Extractable, 2M KCl displacement","na_nh4d","Na_nh4","F","4.1","cmol(+)/kg","layer","mean","To Be Added","NH4OAC extractable sodium is the fraction removed by pH 7.0 NH4OAC. It is assumed to represent the exchangeable Na. It is reported as meq per 100 grams on a <2 mm base.",
681,"aggregate analyte","Potassium, NH4OAc Extractable, 2M KCl displacement","k_nh4d","K_nh4","F","4.1","cmol(+)/kg","layer","mean","To Be Added","NH4OAC extractable potassium is the fraction removed by pH 7.0 NH4OAC. It is assumed to represent the exchangeable K. It is reported as meq per 100 grams on a <2 mm base.",
680,"aggregate analyte","Magnesium, NH4OAc Extractable, 2M KCl displacement","mg_nh4d","Mg_nh4","F","4.1","cmol(+)/kg","layer","mean","To Be Added","NH4OAC extractable magnesium is the fraction removed by pH 7.0 NH4OAC. It is assumed to represent the exchangeable Mg if MgCO3 is not present. It is reported as meq per 100 grams on a <2 mm base.",
679,"aggregate analyte","CEC, NH4OAc, pH 7.0, 2M KCl displacement","cecd_nh4","CECnh4","F","4.1","cmol(+)/kg","layer","mean","To Be Added","CEC by NH4OAC is the cation exchange capacity of the sample, determined by 1N NH4OAC in a system highly buffered at pH 7.0 The NH4 is displaced by 2M KCl to obtain a solution without solids. It is reported as meq per 100 grams sample, on a <2 mm base.",
678,"aggregate analyte","Calcium, NH4OAc Extractable, 2M KCl displacement","ca_nh4d","Ca_nh4","F","4.1","cmol(+)/kg","layer","mean","To Be Added","NH4OAC extractable calcium is the fraction removed by pH 7.0 NH4OAC. It is assumed to represent the exchangeable Ca. It is reported as meq per 100 grams on a <2 mm base. It is not reported for samples containing carbonates or soluble salts.",
677,"derived_analyte","Exchangeable Sodium Percentage No Sat, CEC-Set 3","na_exch_nosat_cec3","ESPnsa_d-3_S","F","3.0","%","layer",,"100.0 * na_nh4 / cec_nh4","This is the exchangeable sodium percentage (ESP), reported on a <2 mm base. Calculated when saturated paste was not run.","<2 mm"
2013,"derived_analyte","Si, Ox times 8 plus Fe, Ox times 2, GP prep, Inst Set 1","si8plusfe2_ox","si8pfe2_d-1_GP","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable silica times 8 plus the amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base. GP prep.","<2 mm"
2012,"derived_analyte","Si, Ox times 8 plus Fe, Ox times 2, N prep, Inst Set 4","si8plusfe2_ox","si8pfe2_d-4_N","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable silica times 8 plus the amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base.  N prep.","<2 mm"
2011,"derived_analyte","Si, Ox times 8 plus Fe, Ox times 2, N prep, Inst Set 3","si8plusfe2_ox","si8pfe2_d-3_N","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable silica times 8 plus the amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base.  N prep.","<2 mm"
2010,"derived_analyte","Si, Ox times 8 plus Fe, Ox times 2, N prep, Inst Set 2","si8plusfe2_ox","si8pfe2_d-2_N","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable silica times 8 plus the amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base.  N prep.","<2 mm"
2009,"derived_analyte","Si, Ox times 8 plus Fe, Ox times 2, N prep, Inst Set 1","si8plusfe2_ox","si8pfe2_d-1_N","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable silica times 8 plus the amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base.  N prep.","<2 mm"
2008,"derived_analyte","Si, Ox times 8 plus Fe, Ox times 2, S prep, Inst Set 4","si8plusfe2_ox","si8pfe2_d-4_S","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable silica times 8 plus the amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base. S prep.","<2 mm"
2007,"derived_analyte","Si, Ox times 8 plus Fe, Ox times 2, S prep, Inst Set 3","si8plusfe2_ox","si8pfe2_d-3_S","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable silica times 8 plus the amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base. S prep.","<2 mm"
2006,"derived_analyte","Si, Ox times 8 plus Fe, Ox times 2, S prep, Inst Set 2","si8plusfe2_ox","si8pfe2_d-2_S","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable silica times 8 plus the amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base. S prep.","<2 mm"
2005,"derived_analyte","Si, Ox times 8 plus Fe, Ox times 2, S prep, Inst Set 1","si8plusfe2_ox","si8pfe2_d-1_S","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable silica times 8 plus the amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base. S prep.","<2 mm"
2004,"derived_analyte","Iron, Oxalate times 2, M prep, Inst Set 4","fetimes2_ox","feox2_d-4_M","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base. G prep.","<2 mm"
2003,"derived_analyte","Iron, Oxalate times 2, M prep, Inst Set 3","fetimes2_ox","feox2_d-3_M","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base. G prep.","<2 mm"
2002,"derived_analyte","Iron, Oxalate times 2, M prep, Inst Set 2","fetimes2_ox","feox2_d-2_M","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base. G prep.","<2 mm"
2001,"derived_analyte","Iron, Oxalate times 2, M prep, Inst Set 1","fetimes2_ox","feox2_d-1_M","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base. G prep.","<2 mm"
2000,"derived_analyte","Iron, Oxalate times 2, GP prep, Inst Set 4","fetimes2_ox","feox2_d-4_GP","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base. G prep.","<2 mm"
2067,"derived_analyte","Ratio, Effective CEC to Clay, <2mm, CECd-Set 31","ecec_cly_cecd31","ececcl_d-37_S","F","4.2","(NA)","layer",,"(ecec_cec / clay_tot_psa)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
2066,"derived_analyte","Ratio, Effective CEC to Clay, <2mm, CECd-Set 30","ecec_cly_cecd30","ececcl_d-36_S","F","4.2","(NA)","layer",,"(ecec_cec / clay_tot_psa)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
2065,"derived_analyte","Ratio, Effective CEC to Clay, <2mm, CECd-Set 29","ecec_cly_cecd29","ececcl_d-35_S","F","4.2","(NA)","layer",,"(ecec_cec / clay_tot_psa)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
2064,"derived_analyte","Ratio, Effective CEC to Clay, <2mm, CECd-Set 28","ecec_cly_cecd28","ececcl_d-34_S","F","4.2","(NA)","layer",,"(ecec_cec / clay_tot_psa)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
2063,"derived_analyte","Ratio, Effective CEC to Clay, <2mm, CECd-Set 27","ecec_cly_cecd27","ececcl_d-33_S","F","4.2","(NA)","layer",,"(ecec_cec / clay_tot_psa)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
